l,b,gaia_median,gaia_std,synth_median,synth_std
-10,-10,-0.7690580434073933,3.067108123563571,-0.376131745,3.0974240348130317
-9,-10,-0.692593250040698,2.958206852947917,-0.38769208,3.094268126462567
-8,-10,-0.6203166525950496,2.868711867085673,-0.35156613,3.2157796765986717
-7,-10,-0.5366752295377497,2.923210697301524,-0.36979106,3.091058664660121
-6,-10,-0.537849408109207,2.894379039868591,-0.33586283,3.0513592548414863
-5,-10,-0.6126173753792261,3.0225068180376278,-0.3325858499999999,2.9530312329934927
-4,-10,-0.5794475012983004,3.163511956954092,-0.3532316,2.9182811691664847
-3,-10,-0.5372615597206477,3.1576779865880145,-0.297975865,2.9496675536014885
-2,-10,-0.6049237207942535,3.4685936324792546,-0.328930435,2.8034111013531318
-1,-10,-0.5505418105432387,3.230939166127386,-0.35618692,2.888732246758356
0,-10,-0.5625040507025224,3.075430200564627,-0.2917759,2.7468933614722006
1,-10,-0.5742013850395082,3.0199951868230586,-0.341447605,2.9104482410845125
2,-10,-0.4795889216613614,3.02582775995635,-0.29962288,2.813290002733039
3,-10,-0.5097161010511528,2.954848815538232,-0.30392256,2.9161746758143385
4,-10,-0.3794632000970216,2.802978916749472,-0.29727537,2.7496324039679467
5,-10,-0.2851596940928086,2.8546222422817387,-0.281843585,2.941697192849983
6,-10,-0.2346666339753051,2.808176246851527,-0.30821718,2.7818798202679447
7,-10,-0.2620602253991638,2.705502531835601,-0.28198317,2.8699785760764667
8,-10,-0.1827594542740286,2.708646859391141,-0.34173271,2.812094848425455
9,-10,-0.2696998769847878,3.211147695405774,-0.34371857,2.905135676295024
10,-10,-0.2393581057844147,2.849221975705277,-0.31509581,2.854686821145965
-10,-9,-0.6309807012815907,2.8748505534005218,-0.39490287,2.905572269859066
-9,-9,-0.6319629456848065,2.931922637494918,-0.4172506,2.9123667609882866
-8,-9,-0.636839573314425,2.749176046436117,-0.34294387,2.7947654888466125
-7,-9,-0.5743602967626458,2.7981695822570227,-0.330254225,2.998483925599237
-6,-9,-0.5741142177795073,2.735893222206482,-0.29930237,2.857896195317004
-5,-9,-0.5134362844904807,2.8174851705572714,-0.32409537,2.7986625795286373
-4,-9,-0.4827487009753336,2.9563191919825065,-0.341866,2.943123199250867
-3,-9,-0.5302666136810378,2.8733569534258563,-0.31241304,2.776324875560989
-2,-9,-0.4906623754767708,2.9202545151473367,-0.32083925,2.8388659644822707
-1,-9,-0.5904326496347169,2.9813159403924923,-0.26991251,2.7867150368847278
0,-9,-0.5767218380562419,2.840152967796712,-0.313375665,2.666828865050456
1,-9,-0.5195333447584869,2.9271284857124877,-0.332133785,2.730005339743676
2,-9,-0.5056323246176483,2.834704951644432,-0.31392445,2.804916038636037
3,-9,-0.3678557437372985,2.800696530071515,-0.31181197,2.764458748906764
4,-9,-0.3687163606936208,2.76196864853809,-0.2957884,2.746534678038792
5,-9,-0.2973631932720826,2.783847779141112,-0.31064444,2.677785836094392
6,-9,-0.2138301071739922,2.729646279587285,-0.341110945,2.7909944084869496
7,-9,-0.1753077412883805,2.698144014783929,-0.321009135,2.753841645807091
8,-9,-0.3076534829433072,2.744640680096701,-0.35552786,2.9679250067042875
9,-9,-0.1979404109159933,2.704710257495518,-0.27724475,2.803334822393308
10,-9,-0.1849845279776699,2.6885908099113127,-0.3234861,2.8770629583013294
-10,-8,-0.6212124696934276,2.838402054830284,-0.299504115,2.7238156908078683
-9,-8,-0.5748395406614102,2.765523364249018,-0.3676893,2.5285213748331463
-8,-8,-0.5171997240506382,2.720066712277658,-0.31585899,2.566246767509119
-7,-8,-0.5197149820024818,2.8054887394546317,-0.27650676,2.6736998254382
-6,-8,-0.496159839791851,2.757049443578062,-0.32749412,2.6733656443311187
-5,-8,-0.4908298905637016,2.743245657004717,-0.30825544,2.598834182862071
-4,-8,-0.4948278933891502,2.796487355083713,-0.29581099,2.6091349400769794
-3,-8,-0.4619773523461941,2.827009367365759,-0.244054135,2.6475239680906
-2,-8,-0.4846551325502177,2.712653308686596,-0.28065052,2.6072975467610355
-1,-8,-0.4837508921732483,3.805312186330213,-0.28710985,2.6501522762138974
0,-8,-0.5094177125245444,2.909182146951392,-0.29193682,2.69344056875712
1,-8,-0.4456522422080848,2.8214734555496856,-0.30770895,2.619637382325616
2,-8,-0.4623673373422436,2.7830021378510974,-0.26415438,2.6433050699233265
3,-8,-0.406253599098473,2.744964266577781,-0.31397367,3.120502608238699
4,-8,-0.3637610150843985,2.697412081559154,-0.25951615,2.591721894670388
5,-8,-0.2936670867474698,2.6561133518331888,-0.32892456,2.6064540520817605
6,-8,-0.2310789515377032,2.5905621090852198,-0.28496481,2.682309585012246
7,-8,-0.2235674308784705,2.642829635894553,-0.283860085,2.6920676058429125
8,-8,-0.2225257951232761,2.909345580735012,-0.30811328,2.761735547760765
9,-8,-0.2065618867480601,2.600767949730617,-0.31998228,2.778415299849897
10,-8,-0.2355986572641705,2.689796321147832,-0.318048435,2.6818978701914946
-10,-7,-0.6098257832457927,2.687728762067888,-0.36088107,2.6282480521801093
-9,-7,-0.5454622008951651,2.6060883620374256,-0.34275086,2.4952250217085736
-8,-7,-0.4881295183269969,2.652267184407819,-0.31641279,2.5528928829840343
-7,-7,-0.4568504376958693,2.7359858600030487,-0.33484351,2.518931572635317
-6,-7,-0.4276538885943327,2.648356288398702,-0.28439233,2.5901375152020947
-5,-7,-0.4315065979981598,2.684106663868078,-0.27949933,2.814985930003996
-4,-7,-0.454658205894769,2.704621847933509,-0.24925031,2.583666144487165
-3,-7,-0.429391437731301,2.924050727563514,-0.30003746,2.567517588381562
-2,-7,-0.4652457478887322,2.9635399136085145,-0.2797624,2.7598643711525845
-1,-7,-0.5089840582023111,2.983856195738225,-0.293334835,2.638005792529182
0,-7,-0.4868834126839657,3.0693918117386345,-0.27592318,2.605754518203662
1,-7,-0.5046714054288418,2.947148396008102,-0.26088679,2.652451918559263
2,-7,-0.4568902190848792,2.8879683193020043,-0.2798802,2.589455184697887
3,-7,-0.4292251433213574,3.0258892305183407,-0.3043892099999999,2.60224943223474
4,-7,-0.349390053004132,2.9131780473752045,-0.283805825,2.5619499325283277
5,-7,-0.2658434144414565,2.7943523351896973,-0.28589546,2.706390270723947
6,-7,-0.2613949629940186,2.7061300392146386,-0.29328187,2.58049439349752
7,-7,-0.2452002678095639,2.7355111366779568,-0.3005228,2.5803091496908945
8,-7,-0.214151364272357,2.6929277157623237,-0.32149486,2.5153947053679944
9,-7,-0.250996135466163,2.706443045169349,-0.3207635749999999,2.721884707771874
10,-7,-0.1925642798709093,2.6848435314514667,-0.29430729,2.571493350817046
-10,-6,-0.5508167291552647,2.5882049442469435,-0.36786862,2.5777143550718318
-9,-6,-0.5148399467129083,2.7024790806665973,-0.325999325,2.365065523614497
-8,-6,-0.4785868213873694,2.5875440257895352,-0.31889977,2.3908506784919874
-7,-6,-0.4160610466915142,2.6061380757215344,-0.28410581,2.452963701058584
