_l_key,_b_key,l_baseline,b_baseline,avg_tau_baseline,eventrate_source_baseline,eventrate_area_baseline,avg_t_baseline,avg_logt_baseline,frac_lowmass_baseline,l_kirkpatrick_min001,b_kirkpatrick_min001,avg_tau_kirkpatrick_min001,eventrate_source_kirkpatrick_min001,eventrate_area_kirkpatrick_min001,avg_t_kirkpatrick_min001,avg_logt_kirkpatrick_min001,frac_lowmass_kirkpatrick_min001
0.829,-1.666,0.829,-1.666,2.8943617855933453e-06,3.550790780297651e-05,675.1775934219444,18.95387794231336,1.1007579127277052,0.0644865662139072,0.829,-1.666,4.421016573619273e-06,4.583327459349863e-05,20391.223866647542,22.4290874236105,1.1490364380201312,0.0864470576798992
0.751,-1.534,0.751,-1.534,3.1669492156469134e-06,3.726699788852227e-05,619.2273033187919,19.76000444747801,1.107997814139323,0.0664986430539189,0.751,-1.534,4.302312629955103e-06,4.737730662822086e-05,23960.02816577913,21.115527988469363,1.1418860108098534,0.0768417478296483
0.673,-1.401,0.673,-1.401,2.7913714107572105e-06,3.594805738510795e-05,494.4911425097318,18.055625880549737,1.078276992788419,0.0679546702266655,0.673,-1.401,4.753062209015287e-06,5.449196590628135e-05,27359.66577492012,20.282027620599507,1.1302633247034706,0.0746967181786688
0.595,-1.269,0.595,-1.269,2.518940419104211e-06,2.9476384132761943e-05,141.9128425462263,19.87073974203921,1.1148035578946252,0.0624470384231781,0.595,-1.269,4.822113836621111e-06,5.613150501864348e-05,31958.391711380293,19.97565917083361,1.117257868704076,0.0869433704222738
0.516,-1.137,0.516,-1.137,2.6842547534683414e-06,3.041481864914166e-05,101.76870368642578,20.52148795986511,1.127774558425794,0.0600922937065635,0.516,-1.137,5.4915746856290495e-06,6.042893613926364e-05,37946.5508463466,21.131109157953905,1.1330052193435871,0.0763622843942984
1.18,-1.63,1.18,-1.63,3.280699714378966e-06,3.498347203991246e-05,617.6172972864545,21.80589508576067,1.1216748444409894,0.064004808956016,1.18,-1.63,4.385106835346087e-06,4.695931508099453e-05,21204.86687092335,21.713446964973556,1.1555410858285455,0.0802274369974306
1.102,-1.497,1.102,-1.497,2.5736215051159514e-06,3.3934589243520856e-05,480.116033162965,17.63487670949735,1.0805680184965651,0.0598033605777459,1.102,-1.497,4.861462410359734e-06,5.0403481806370935e-05,23864.552121914618,22.427287048969333,1.1616728458126735,0.0713346370034687
1.024,-1.365,1.024,-1.365,2.723712347317515e-06,3.364566201584237e-05,320.88440728298576,18.82359235773108,1.0911023654316374,0.0650586608733292,1.024,-1.365,4.713272884256776e-06,5.225618327196841e-05,26907.480733080327,20.97274353874296,1.1292717875762224,0.0817893445903503
0.946,-1.232,0.946,-1.232,2.3833909735435238e-06,2.7502850592918645e-05,114.38561320156224,20.150597500141902,1.1180718889721517,0.0681151830044212,0.946,-1.232,5.093160828722315e-06,5.7161049231333545e-05,32274.505912542343,20.718463561342386,1.1276676061279685,0.0810420629816755
0.868,-1.099,0.868,-1.099,2.548716484624909e-06,2.8743467134957044e-05,91.65882670205612,20.61829373483544,1.132817037508575,0.0605665127141207,0.868,-1.099,5.640377259043737e-06,6.007808177113856e-05,35682.22556004954,21.830437672269877,1.1404869642849855,0.0838314254012027
1.438,-1.479,1.438,-1.479,2.539260844975542e-06,2.992718403481581e-05,210.51649949849303,19.72930602269909,1.108759363686456,0.0795506162409132,1.438,-1.479,4.122592217531877e-06,4.721171875275273e-05,21380.214134505688,20.304435291111897,1.129676929933038,0.0809692277998714
1.36,-1.346,1.36,-1.346,3.026879952257822e-06,3.48495041439576e-05,453.26412035337256,20.196166452143512,1.1158655882775674,0.0569036373669351,1.36,-1.346,4.502568388623454e-06,5.06325005885465e-05,25184.394823990577,20.6776551959245,1.1288668428620137,0.082125882885308
1.282,-1.213,1.282,-1.213,2.7061399682845624e-06,3.267546923011069e-05,352.461660941181,19.257449617381592,1.099724638780484,0.0641207660904349,1.282,-1.213,4.9827362838547225e-06,5.371071161211296e-05,28585.158629674635,21.571350899932664,1.1520385067471854,0.0829804545847776
1.204,-1.08,1.204,-1.08,2.8194393414944207e-06,3.254985117784868e-05,276.34016048507993,20.14114220454958,1.1044681419902789,0.0610360282284456,1.204,-1.08,5.072455791752785e-06,5.6409509667438165e-05,32062.45679873548,20.909145925224447,1.1333435306308828,0.0836525179873787
1.125,-0.947,1.125,-0.947,2.920858923203364e-06,3.3545205212977855e-05,200.24484076826147,20.24652414401385,1.1329013842421083,0.0693416132900082,1.125,-0.947,5.582057939918409e-06,6.213099200870125e-05,37815.4098015159,20.8908639029378,1.1260724796401638,0.0809627776378695
1.046,-0.814,1.046,-0.814,2.680442583789731e-06,2.9094475304320875e-05,91.95603547528631,21.422311350126886,1.1388474506661053,0.0710031150264921,1.046,-0.814,6.437029028423837e-06,6.723368723608465e-05,44624.6718995437,22.26224129630806,1.147979352726079,0.0880196293078849
1.641,-1.19,1.641,-1.19,2.099520921660535e-06,2.3392459940885625e-05,63.45158565323952,20.86962569412991,1.1402231244276184,0.0606267770329862,1.641,-1.19,4.796203690379833e-06,5.116915860082098e-05,25332.94832622401,21.795141391885927,1.152179438238237,0.0818536552325624
1.563,-1.056,1.563,-1.056,2.472880750992845e-06,2.7172139456557904e-05,143.00835159407393,21.16165777459578,1.144588486343642,0.0660211505162528,1.563,-1.056,5.17576892867486e-06,5.380562526516589e-05,28744.285016023765,22.367505049077494,1.1655596287344705,0.0869602508519862
1.484,-0.923,1.484,-0.923,2.1536286628127684e-06,2.4099917638268825e-05,62.71804265786115,20.77904635108798,1.1394352898162547,0.0602214101824502,1.484,-0.923,5.984307211284529e-06,6.072394256491184e-05,34935.72977692845,22.91523245751941,1.162618123899409,0.0876729571838063
-0.233,-2.277,-0.233,-2.277,2.3909882533825964e-06,2.720248228105326e-05,325.3678286049104,20.438040432485124,1.123142219338222,0.0600473973251961,-0.233,-2.277,2.749265627809955e-06,3.343827018093145e-05,11801.742416799336,19.11803478415112,1.1179729662611633,0.0887580901066141
-0.31,-2.144,-0.31,-2.144,2.5178478005997383e-06,2.952101426850065e-05,416.595892144302,19.8320928539076,1.1236994867748653,0.066599665285562,-0.31,-2.144,3.559784534595279e-06,3.744246953376956e-05,14286.910553141171,22.106987945652037,1.1564557991869084,0.0829682711115783
-0.388,-2.012,-0.388,-2.012,2.480603189450037e-06,3.0749592448438425e-05,425.5049424170157,18.758075575289936,1.1032061513564304,0.0662442688567943,-0.388,-2.012,3.101811761338919e-06,3.722112118302685e-05,14916.861542816108,19.37743706563702,1.1150031506143558,0.086762078747836
-0.466,-1.88,-0.466,-1.88,2.340314634237049e-06,3.016422002276959e-05,336.8163945103027,18.040663082890152,1.089467646349451,0.0675449449907961,-0.466,-1.88,3.728528589669462e-06,4.27180860880883e-05,18645.83260727316,20.295326316949986,1.1297087595806166,0.0855243852813345
-0.545,-1.748,-0.545,-1.748,2.702969357492568e-06,3.108217068020554e-05,223.2936242900842,20.22088358745156,1.1138730975435056,0.0574435400373354,-0.545,-1.748,3.856718955414351e-06,4.4707206564823335e-05,20353.38998127924,20.0590705204622,1.1194080204984895,0.0861581300290781
-0.623,-1.616,-0.623,-1.616,2.250028028258653e-06,2.7770739745865424e-05,151.32514397753707,18.83956310663249,1.0996989201172758,0.0703910271376045,-0.623,-1.616,4.3508691789865e-06,4.884678000160135e-05,24506.78423025936,20.711446562351853,1.1385841066771711,0.0740368659888202
-0.702,-1.484,-0.702,-1.484,2.3696824422038203e-06,2.6631674600495267e-05,61.2737202833577,20.69007297974473,1.1287551567396763,0.0591811175825431,-0.702,-1.484,4.446918924177009e-06,5.036539209995871e-05,26537.69123440694,20.530396634481665,1.1347115169035378,0.0734120976303145
0.119,-2.241,0.119,-2.241,2.190407854779976e-06,2.7743229294719905e-05,518.554164693577,18.35854779345063,1.0952198579158627,0.0671584093106654,0.119,-2.241,2.89008353700956e-06,3.4045921837182154e-05,12334.962257240864,19.73856817140925,1.128402898754523,0.0871610363947173
0.041,-2.108,0.041,-2.108,2.4636549813064683e-06,3.145809116506343e-05,481.2793947402696,18.21033220516831,1.0972460482507864,0.0659610506718899,0.041,-2.108,3.1455868141929594e-06,3.5898950451668216e-05,13663.712844013571,20.374655372285947,1.1322411277974185,0.078479982983485
-0.037,-1.975,-0.037,-1.975,2.8399691083703373e-06,3.3502242665401085e-05,689.9103759290514,19.711064706391216,1.112636048686612,0.0651702994119593,-0.037,-1.975,3.579061919226026e-06,4.013890759596176e-05,16739.184775746948,20.73356634528624,1.138596638784794,0.0809203357764653
-0.115,-1.843,-0.115,-1.843,2.7672703171997536e-06,3.401121112706137e-05,509.2751493594486,18.91907221805613,1.0993446284261212,0.0691877842436237,-0.115,-1.843,3.72361641613942e-06,4.361658661288081e-05,19362.41842654361,19.85105573485925,1.1258596500439266,0.0794905934042274
-0.193,-1.71,-0.193,-1.71,2.7045966933529778e-06,3.3766695748276e-05,398.09556312737226,18.624485988621583,1.1035652526287965,0.064833880606932,-0.193,-1.71,3.827162350723072e-06,4.293957685505777e-05,20044.823557422085,20.72475822861219,1.1305281684462791,0.086666685717738
-0.272,-1.578,-0.272,-1.578,2.376779667852524e-06,3.079401043619598e-05,244.1683664042814,17.94704776226775,1.0819778076001312,0.0623200114568475,-0.272,-1.578,4.298478143319106e-06,4.8337091242077e-05,24408.28495792592,20.677810828333737,1.1244684239254028,0.0810211347322423
