l,b,gaia_median,gaia_std
-10,-10,-0.7690580434073933,3.067108123563571
-9,-10,-0.692593250040698,2.958206852947917
-8,-10,-0.6203166525950496,2.868711867085673
-7,-10,-0.5366752295377497,2.9232106973015237
-6,-10,-0.537849408109207,2.894379039868591
-5,-10,-0.6126173753792261,3.0225068180376273
-4,-10,-0.5794475012983004,3.1635119569540917
-3,-10,-0.5372615597206477,3.1576779865880145
-2,-10,-0.6049237207942535,3.4685936324792546
-1,-10,-0.5505418105432387,3.230939166127386
0,-10,-0.5625040507025224,3.075430200564627
1,-10,-0.5742013850395082,3.0199951868230586
2,-10,-0.47958892166136147,3.02582775995635
3,-10,-0.5097161010511528,2.9548488155382318
4,-10,-0.3794632000970216,2.802978916749472
5,-10,-0.2851596940928086,2.8546222422817387
6,-10,-0.23466663397530518,2.808176246851527
7,-10,-0.26206022539916385,2.705502531835601
8,-10,-0.18275945427402862,2.7086468593911412
9,-10,-0.2696998769847878,3.211147695405774
10,-10,-0.23935810578441474,2.8492219757052766
-10,-9,-0.6309807012815907,2.8748505534005218
-9,-9,-0.6319629456848065,2.931922637494918
-8,-9,-0.636839573314425,2.7491760464361175
-7,-9,-0.5743602967626458,2.7981695822570227
-6,-9,-0.5741142177795073,2.735893222206482
-5,-9,-0.5134362844904807,2.8174851705572714
-4,-9,-0.4827487009753336,2.9563191919825065
-3,-9,-0.5302666136810378,2.8733569534258563
-2,-9,-0.49066237547677083,2.9202545151473367
-1,-9,-0.5904326496347169,2.9813159403924923
0,-9,-0.5767218380562419,2.840152967796712
1,-9,-0.5195333447584869,2.9271284857124873
2,-9,-0.5056323246176483,2.8347049516444316
3,-9,-0.3678557437372985,2.800696530071515
4,-9,-0.3687163606936208,2.76196864853809
5,-9,-0.2973631932720826,2.7838477791411114
6,-9,-0.21383010717399226,2.729646279587285
7,-9,-0.17530774128838056,2.698144014783929
8,-9,-0.3076534829433072,2.744640680096701
9,-9,-0.19794041091599332,2.704710257495518
10,-9,-0.18498452797766998,2.6885908099113127
-10,-8,-0.6212124696934276,2.838402054830284
-9,-8,-0.5748395406614102,2.765523364249018
-8,-8,-0.5171997240506382,2.720066712277658
-7,-8,-0.5197149820024818,2.8054887394546313
-6,-8,-0.496159839791851,2.757049443578062
-5,-8,-0.4908298905637016,2.743245657004717
-4,-8,-0.49482789338915023,2.796487355083713
-3,-8,-0.46197735234619414,2.827009367365759
-2,-8,-0.4846551325502177,2.712653308686596
-1,-8,-0.4837508921732483,3.8053121863302133
0,-8,-0.5094177125245444,2.909182146951392
1,-8,-0.44565224220808486,2.8214734555496856
2,-8,-0.4623673373422436,2.7830021378510974
3,-8,-0.40625359909847303,2.744964266577781
4,-8,-0.3637610150843985,2.697412081559154
5,-8,-0.2936670867474698,2.6561133518331888
6,-8,-0.23107895153770328,2.5905621090852193
7,-8,-0.22356743087847053,2.642829635894553
8,-8,-0.22252579512327614,2.909345580735012
9,-8,-0.20656188674806014,2.600767949730617
10,-8,-0.2355986572641705,2.6897963211478317
-10,-7,-0.6098257832457927,2.6877287620678882
-9,-7,-0.5454622008951651,2.6060883620374256
-8,-7,-0.4881295183269969,2.652267184407819
-7,-7,-0.4568504376958693,2.7359858600030487
-6,-7,-0.42765388859433273,2.648356288398702
-5,-7,-0.4315065979981598,2.684106663868078
-4,-7,-0.454658205894769,2.704621847933509
-3,-7,-0.42939143773130106,2.924050727563514
-2,-7,-0.4652457478887322,2.9635399136085145
-1,-7,-0.5089840582023111,2.9838561957382255
0,-7,-0.48688341268396573,3.0693918117386345
1,-7,-0.5046714054288418,2.9471483960081026
2,-7,-0.45689021908487926,2.8879683193020043
3,-7,-0.4292251433213574,3.0258892305183407
4,-7,-0.34939005300413206,2.9131780473752045
5,-7,-0.2658434144414565,2.7943523351896973
6,-7,-0.26139496299401865,2.7061300392146386
7,-7,-0.2452002678095639,2.7355111366779568
8,-7,-0.21415136427235706,2.6929277157623233
9,-7,-0.250996135466163,2.706443045169349
10,-7,-0.19256427987090932,2.6848435314514667
-10,-6,-0.5508167291552647,2.5882049442469435
-9,-6,-0.5148399467129083,2.7024790806665973
-8,-6,-0.4785868213873694,2.5875440257895352
-7,-6,-0.4160610466915142,2.6061380757215344
-6,-6,-0.44057272226013405,3.03251120347145
-5,-6,-0.4459135826126006,2.842873626271454
-4,-6,-0.4302856535792243,2.9786954958025285
-3,-6,-0.44069315233601114,3.1112834296997516
-2,-6,-0.479585582678393,3.5106361303999134
-1,-6,-0.4829462408722094,3.250760052576701
0,-6,-0.4275186629473472,3.067356826085433
1,-6,-0.490838223710104,3.0031018073071625
2,-6,-0.3917575786571944,2.8774035473792177
3,-6,-0.41777963879001156,2.992680918127624
4,-6,-0.3095311633354459,2.7728847068407245
5,-6,-0.2511152906290983,2.6817374095600535
6,-6,-0.24522845473064325,2.671484231124982
7,-6,-0.24175071866482878,2.5700185904355792
8,-6,-0.2537997243244815,2.6004581669748297
9,-6,-0.30706784188206654,2.59745252584225
10,-6,-0.2642548359433266,2.5681668091688374
-10,-5,-0.6172485461723047,2.6780105011960886
-9,-5,-0.5198453032693002,3.109064413990205
-8,-5,-0.4957144757479579,2.7096409783622395
-7,-5,-0.4617342916763064,2.793316837438043
-6,-5,-0.42118881044205503,2.7252320259519625
-5,-5,-0.42529971564527647,2.7578186515172796
-4,-5,-0.4746647587179667,2.869246355330953
-3,-5,-0.44543833580852316,2.918037020547675
-2,-5,-0.4833157401774407,3.0659361000767453
-1,-5,-0.4813580728220317,3.4205026044546134
0,-5,-0.46601201498730666,3.190429005057592
1,-5,-0.4205958801558217,3.1010623817367184
2,-5,-0.37840857724217014,2.9554588546314666
3,-5,-0.3174953317946939,2.993629346729555
4,-5,-0.33061760958955916,2.70822311802141
5,-5,-0.24752577111748303,2.7472851997705994
6,-5,-0.27691795613107806,2.7195350039632777
7,-5,-0.32495850287468186,2.616680679009666
8,-5,-0.32010442708078485,2.846541707445065
9,-5,-0.2679257322644758,2.6220055324339686
10,-5,-0.25802811412568083,2.5945736080807738
-10,-4,-0.5963942018189989,2.5996487398597545
-9,-4,-0.5945880116927378,2.6095566201587954
-8,-4,-0.4780096005531706,2.656775974679407
-7,-4,-0.40210551270842504,2.767329057726789
-6,-4,-0.4318663563468761,3.0349019500209855
-5,-4,-0.4242888505860245,2.7699859349297578
-4,-4,-0.3513405335868794,2.939116776984688
-3,-4,-0.4392397111970684,3.041624349854596
-2,-4,-0.4433562155414634,3.3090960490980508
-1,-4,-0.4119839095269502,3.1501639263541534
0,-4,-0.3902999130111367,3.529654355781139
1,-4,-0.6302076217296457,3.161565646178442
2,-4,-0.4126470337873128,3.11905266111452
3,-4,-0.3916719166791138,2.966489855756364
4,-4,-0.3783169063812347,2.929326526960055
5,-4,-0.3340921296866916,2.8825019890437975
6,-4,-0.34151362858477036,2.8556158376443426
7,-4,-0.33402867204035297,2.9082144572406294
8,-4,-0.29902862482861736,2.7534108430564306
9,-4,-0.34414421709183607,2.8302502567066936
10,-4,-0.3105278940567864,2.692650371204632
-10,-3,-0.47997809508041317,2.297071135421208
-9,-3,-0.47034798325585775,2.292816461151543
-8,-3,-0.36333394414365655,2.4658850176995997
-7,-3,-0.37461152415110893,2.3618679033678704
-6,-3,-0.35310929289363757,2.4694413684770193
-5,-3,-0.38636210042999986,2.800159251534435
-4,-3,-0.43240730524059523,2.68153912233452
-3,-3,-0.38747975814387925,2.8016969153663553
-2,-3,-0.4661079532001806,2.997547017208043
-1,-3,-0.4117572627363361,3.2318717595029773
0,-3,-0.371762406791487,3.25054490266405
1,-3,-0.44155483683126673,3.662973435289761
2,-3,-0.38366499869629633,3.1526163959871654
3,-3,-0.38552330360889076,3.0016227251631427
4,-3,-0.4367910646757084,3.022263047536662
5,-3,-0.39803469060330027,2.828078101683669
6,-3,-0.33297518484442423,2.794813795187691
7,-3,-0.3535134773848042,2.627515976087969
8,-3,-0.3401827717292095,2.6006366855904326
9,-3,-0.35222155106004016,2.553170438970853
10,-3,-0.3342170403023923,2.393307875022184
-10,-2,-0.5298907422699837,2.3134607636573197
-9,-2,-0.5788039999955892,2.3847241696173773
-8,-2,-0.4401496836687467,2.0886553194620876
-7,-2,-0.425789395294464,2.3218600865924404
-6,-2,-0.34534228774583653,2.215030970655381
-5,-2,-0.3910090987748995,2.488126002486734
-4,-2,-0.4518727725472528,2.720691302540967
-3,-2,-0.5735055015109886,2.9799884454746417
-2,-2,-0.9581979504474148,3.770304099678632
-1,-2,-0.38959818301624094,3.0094508552185117
0,-2,-0.4079730317131075,3.235218414219927
1,-2,-0.40609526752148506,3.3299483571982287
2,-2,-0.40665157316000206,3.2710076051857038
3,-2,-0.35908932760734846,2.9559082304871587
4,-2,-0.3403188443292914,2.7195073521023523
5,-2,-0.5102524515888728,2.785393743772205
6,-2,-0.5008516291355112,2.5729927772088694
7,-2,-0.4280736004724024,2.829908715310289
8,-2,-0.38967399862043267,2.550324978769316
