l,b,gaia_l_median,gaia_l_std,gaia_b_median,gaia_b_std,synth_l_median,synth_l_std,synth_b_median,synth_b_std
-10,-10,-5.019693759610734,3.8117257956415855,-0.7690580434073931,3.067108123563571,-5.8453643,4.063266316826151,-0.6207800649999999,3.045280755150782
-9,-10,-5.062406695217431,4.029872704638803,-0.692593250040698,2.958206852947917,-5.9173852,4.219285602335268,-0.55260208,2.931851238319462
-8,-10,-5.102367322948621,3.5812273543017477,-0.6203166525950494,2.868711867085673,-5.8191541,3.8082231512700644,-0.519803,3.019351100339143
-7,-10,-5.018220131728183,3.47851846024303,-0.5366752295377497,2.9232106973015237,-5.89889335,3.9804201661520846,-0.515586175,3.054588698335877
-6,-10,-5.052219922889871,3.581210836490938,-0.537849408109207,2.894379039868591,-5.7744207,3.7577583393454415,-0.47391431,2.8827412400551737
-5,-10,-5.06267461914179,3.5544624923988186,-0.6126173753792261,3.0225068180376273,-5.71881635,3.5936145904030656,-0.45015448,2.802467622019158
-4,-10,-5.1009198405140115,3.6282921731175923,-0.5794475012983004,3.1635119569540917,-5.706158,3.4805832060849813,-0.43252168,2.8215050080383004
-3,-10,-5.131277448204409,3.549997848069361,-0.5372615597206482,3.1576779865880145,-5.62120805,3.8631807281630524,-0.45035709,2.87515152937827
-2,-10,-5.030611321256353,3.851700258133612,-0.6049237207942535,3.4685936324792546,-5.6328206,3.5418116565309177,-0.3874301,2.8737670819483685
-1,-10,-5.178395303785648,3.509318772005173,-0.5505418105432387,3.230939166127386,-5.5582069999999995,3.6845831621378844,-0.409282805,2.758811802170602
0,-10,-5.127467714548883,3.5772433279914413,-0.5625040507025216,3.075430200564627,-5.4476991,3.9459374291803515,-0.4088804,2.86138458014614
1,-10,-5.000560618635604,3.7208341096610047,-0.5742013850395082,3.0199951868230586,-5.4136332,3.449392732688709,-0.386995015,2.7671574817794746
2,-10,-5.072443405161358,3.4989280571034564,-0.47958892166136147,3.0258277599563503,-5.37543145,3.352474575336805,-0.360579775,2.7788374307543826
3,-10,-5.07581367681607,3.239705460738173,-0.5097161010511528,2.9548488155382318,-5.3239427500000005,3.4245597935990775,-0.31445235000000005,2.9580265549566827
4,-10,-5.076333734020893,3.395973003436014,-0.3794632000970216,2.802978916749472,-5.3008039,3.4666915252098267,-0.38909802,2.7305119379814027
5,-10,-4.964821363097464,3.258115269528628,-0.2851596940928113,2.8546222422817387,-5.272365150000001,4.2951854954654785,-0.325657245,2.9474451415572402
6,-10,-5.057840684410499,3.302321831875989,-0.23466663397530518,2.808176246851527,-5.2007744,3.4501433895292917,-0.31297738,2.702534075042152
7,-10,-5.07583470389764,3.288282099934391,-0.2620602253991639,2.705502531835601,-5.1677509,3.459574430636831,-0.30186914,2.908491007734004
8,-10,-5.1355593575769465,3.418240529654801,-0.18275945427402812,2.7086468593911412,-5.10665985,3.550197715367636,-0.252609215,2.7864177028175887
9,-10,-5.040476921374742,3.854771119612607,-0.2696998769847882,3.211147695405774,-5.0428181,3.9487216257972615,-0.27589871,2.895030506768818
