l,b,gaia_median,gaia_std,synth_median,synth_std
-10,-10,-5.019693759610734,3.8117257956415855,-6.129560994397668,5.169317738016861
-9,-10,-5.06240669521743,4.029872704638803,-6.142791372596832,5.43870505110142
-8,-10,-5.102367322948621,3.5812273543017477,-6.120394356575665,4.0385956066651385
-7,-10,-5.018220131728183,3.47851846024303,-6.010612263755261,5.844192057192318
-6,-10,-5.052219922889871,3.581210836490938,-5.972040022951336,4.108809940168508
-5,-10,-5.06267461914179,3.5544624923988186,-5.843366877522687,3.618176110074314
-4,-10,-5.100919840514013,3.6282921731175923,-5.719206925621206,3.6043447794319943
-3,-10,-5.131277448204409,3.549997848069361,-5.696488325020134,3.6515008321333284
-2,-10,-5.030611321256353,3.851700258133612,-5.653487117553221,3.617381053245693
-1,-10,-5.178395303785647,3.5093187720051735,-5.604769755228973,3.3650949896639952
0,-10,-5.127467714548883,3.5772433279914413,-5.608601103029658,3.3591577451623342
1,-10,-5.000560618635606,3.7208341096610047,-5.49027724743342,3.4362090002412633
2,-10,-5.072443405161358,3.4989280571034564,-5.5062469856317335,3.4587548823092424
3,-10,-5.07581367681607,3.239705460738173,-5.4481278843134655,3.445733643075807
4,-10,-5.076333734020894,3.395973003436014,-5.352222258095884,4.652782443966452
5,-10,-4.964821363097464,3.258115269528628,-5.2121196948184645,3.380624540981876
6,-10,-5.057840684410499,3.3023218318759886,-5.139062937307774,3.601868244921032
7,-10,-5.07583470389764,3.288282099934391,-5.069816935086123,3.2182746848718815
8,-10,-5.1355593575769465,3.418240529654801,-4.888061826202124,3.735742734357198
9,-10,-5.040476921374743,3.854771119612607,-4.770140965815287,3.3724200772913386
10,-10,-5.043618571595066,3.605225031263788,-4.676483912889285,3.5364282545538717
-10,-9,-5.159654044789851,3.661811007611352,-6.433995653198573,5.620633971737611
-9,-9,-5.1600737200600175,4.055223708009728,-6.329188961829823,4.057552819553939
-8,-9,-5.328912485723861,3.5409903322286094,-6.357984596755978,3.8134157587829627
-7,-9,-5.273198622927358,3.574385774144614,-6.1912338671378055,3.852831272628077
-6,-9,-5.265014708918535,3.3775272885833734,-6.168370022296762,3.8118310705996694
-5,-9,-5.2760384373112545,3.970141569882002,-6.038488967836873,3.352621487216355
-4,-9,-5.3720317050942406,3.3309411521221097,-5.928309846026223,4.120786387129451
-3,-9,-5.285775773714964,3.275106507271179,-5.880439599713364,3.546943369934051
-2,-9,-5.2359368804121384,3.438183896687963,-5.808223057264849,3.3562631481374874
-1,-9,-5.271178391571448,3.3276365671530104,-5.760889196524041,3.9504474298181607
0,-9,-5.231976960260915,3.2753111901345244,-5.724989504285679,3.198042285184115
1,-9,-5.145636279135875,3.4996444464338587,-5.655174051172565,3.6483043352561046
2,-9,-5.18301794526237,3.229575097775596,-5.61935702845121,3.34985300474202
3,-9,-5.15577920749315,3.529883550055785,-5.529724982092566,3.379226323815148
4,-9,-5.2176694476885785,3.315106696438991,-5.446409159158896,3.169853097490327
5,-9,-5.054738657293219,3.2952682845464922,-5.32695019044964,3.1603838752479407
6,-9,-5.221464091978884,3.4666140614998273,-5.175327167134023,3.428227047348504
7,-9,-5.252808303206351,3.54623444399365,-5.055797619163194,3.2357526463429314
8,-9,-5.014921778010847,3.62409724853693,-4.90856146427953,3.3756598643436306
9,-9,-5.12832230470621,3.484136353459325,-4.774125869234636,4.524404246440244
10,-9,-5.141430804323099,3.4225077757830924,-4.687293472748961,3.1804508478334794
-10,-8,-5.198157123188,4.208276557106978,-6.651906233847057,3.919932983324337
-9,-8,-5.360183435795983,3.4590270973115977,-6.614121548988469,3.7093343420950404
-8,-8,-5.456055739173237,3.3384158422455106,-6.51238133770213,3.657863846654666
-7,-8,-5.518494927477405,3.481297346778094,-6.469571227573185,3.6738411211500703
-6,-8,-5.536067407067669,3.621122792121405,-6.2997173674509135,3.3611390702264794
-5,-8,-5.539012720045104,3.443665522290175,-6.230137418366587,3.162990180733372
-4,-8,-5.562162569042878,3.4574781333014912,-6.082762941478361,3.1458732088436787
-3,-8,-5.4752499235488745,3.4362109850495552,-5.985562215367427,4.267083864547169
-2,-8,-5.395824319214151,3.3373156151011973,-5.971863922242653,3.131761398227444
-1,-8,-5.372536637523389,5.69640779047441,-5.875830871177275,3.12571646887786
0,-8,-5.344417926870812,3.280908414032801,-5.867619770926597,3.3216248552128413
1,-8,-5.306734326933421,3.2120625183733704,-5.756673554923324,2.9870545394110772
2,-8,-5.280318151840444,3.1375389512448333,-5.718799863821312,2.97299542206053
3,-8,-5.25896077832525,3.235287327267181,-5.561254241226065,3.2544459212041748
4,-8,-5.27331454624937,3.335746115580789,-5.482937222160009,3.0092100098190775
5,-8,-5.291154033908669,3.1021639318642893,-5.367225351336825,2.9993442729141866
6,-8,-5.277380509672734,3.1964964030572833,-5.1993444719677,3.642463595881398
7,-8,-5.4069225017876725,3.2637145298226216,-5.145504479830681,3.0373635692759633
8,-8,-5.157583703518281,3.52383193839511,-4.889489772049394,3.341412900737776
9,-8,-5.24961928916143,3.3010615690222003,-4.816843596039375,3.63273537197701
10,-8,-5.318241391579836,3.3075453466681366,-4.667887753208994,3.1851812516478555
-10,-7,-5.316017537179256,3.625448770457233,-6.7314755266006365,3.655907260246891
-9,-7,-5.385389184714534,3.447812698259841,-6.6479582110343545,3.4705548744566324
-8,-7,-5.4442208161232815,3.3317189198005055,-6.601333477379532,3.36454681873795
-7,-7,-5.461471177362719,3.5976951818436973,-6.505389635112962,3.3953672114907896
-6,-7,-5.665365825825733,3.3806635506906524,-6.491225976838117,3.1679468295510538
-5,-7,-5.709389237284503,3.5540088156152376,-6.331941063363506,3.246118506702248
-4,-7,-5.696170001834674,3.3437623237538516,-6.247631271216434,3.052365240552003
-3,-7,-5.619870643172492,3.298856973565623,-6.123427153536788,3.064987679446436
