l,b,n_source,n_lens,sa_source,sa_lens,avg_tau,avg_murel,avg_theta,eventrate_area,eventrate_source,avg_t,avg_logt,stdev_t,stdev_logt,avg_ds,avg_dl,stdev_ds,stdev_dl,frac_bulge_lens,frac_disk_lens,frac_bulge_source,frac_disk_source,frac_lowmass,field_id,f_src,f_lens,frac_nsd_lens,frac_nsd_source
0.829,-1.666,3841,6541,6.153271879691513e-08,3.046174197867086e-09,2.8943617855933453e-06,6.801449303380762,0.27374293000353356,675.1775934219444,3.550790780297651e-05,18.953877942313362,1.1007579127277052,21.42011025006229,0.38898348992667797,8.881593575119204,7.202134088944386,1.6443174968315553,1.4915225727574737,0.8376053282530064,0.16071421683482323,0.8635698472492009,0.1345084930681995,0.06448656621390729,0,outputfiles/ogle_chips/src/Huston2025_l0.829_b-1.666.h5,outputfiles/ogle_chips/lens/Huston2025_l0.829_b-1.666.h5,0.0004046829880913664,0.00040226287595315747
0.751,-1.534,3496,4337,6.409150512312349e-08,1.862735521995723e-09,3.1669492156469134e-06,6.6769360565980165,0.2771601880693996,619.2273033187919,3.726699788852227e-05,19.760004447478014,1.107997814139323,23.054236511788634,0.3983899776079787,8.885469700063275,7.207322774348164,1.7277546993841844,1.450018415215432,0.8397746986690929,0.1579746460586258,0.8588380498884245,0.13981519972069334,0.06649864305391896,1,outputfiles/ogle_chips/src/Huston2025_l0.751_b-1.534.h5,outputfiles/ogle_chips/lens/Huston2025_l0.751_b-1.534.h5,0.0011640169284830896,0.001184274926679432
0.673,-1.401,3311,4368,7.332141294266075e-08,1.7180422475970365e-09,2.7913714107572105e-06,6.841924502072289,0.26599217654090507,494.4911425097318,3.594805738510795e-05,18.055625880549737,1.078276992788419,20.22833103933869,0.3913725267626067,8.805335416203054,7.254697844446965,1.547958254916599,1.377945664837164,0.8329826434634555,0.16394020244240348,0.8562700151908008,0.14177691016577226,0.06795467022666553,2,outputfiles/ogle_chips/src/Huston2025_l0.673_b-1.401.h5,outputfiles/ogle_chips/lens/Huston2025_l0.673_b-1.401.h5,0.0018975947167387526,0.0015940222221438325
0.595,-1.269,4009,4228,2.5365492545639223e-07,1.5733489731983496e-09,2.518940419104211e-06,6.660944063508466,0.2817669569450689,141.9128425462263,2.9476384132761946e-05,19.87073974203921,1.1148035578946252,22.00888804470891,0.4013030074490684,9.023988601176853,7.1056936684804715,2.2368196473027533,1.5581103405235794,0.7923584299183405,0.2054875871220486,0.788450489972147,0.20875623925836181,0.06244703842317816,3,outputfiles/ogle_chips/src/Huston2025_l0.595_b-1.269.h5,outputfiles/ogle_chips/lens/Huston2025_l0.595_b-1.269.h5,0.0018439277317819141,0.002793270769490512
0.516,-1.137,3955,4308,3.600577901878896e-07,1.488360713077858e-09,2.6842547534683414e-06,6.5264714979687275,0.27248635371828356,101.76870368642578,3.041481864914166e-05,20.52148795986511,1.1277745584257939,22.797761147258186,0.40286576294507404,9.34417810742317,7.379022545947425,2.354279195945142,1.2576302838761428,0.834210212019136,0.15949575131577848,0.7373237515195114,0.25544434646931025,0.0600922937065635,4,outputfiles/ogle_chips/src/Huston2025_l0.516_b-1.137.h5,outputfiles/ogle_chips/lens/Huston2025_l0.516_b-1.137.h5,0.005515385268571704,0.006317747685218982
1.18,-1.63,3884,4003,6.701583235307589e-08,1.8849725936401527e-09,3.280699714378966e-06,6.713484557435013,0.3149835140621659,617.6172972864545,3.498347203991246e-05,21.80589508576067,1.1216748444409894,29.57187455717112,0.4153713130458353,8.754484564058068,7.166052076968509,1.475519778185512,1.3808490123862813,0.8236434348092003,0.17468459103846062,0.871475072992107,0.1276298154519243,0.06400480895601607,5,outputfiles/ogle_chips/src/Huston2025_l1.180_b-1.630.h5,outputfiles/ogle_chips/lens/Huston2025_l1.180_b-1.630.h5,0.0001409480153093625,0.000466749506489466
1.102,-1.497,3206,4313,6.902630732366816e-08,1.883449506541219e-09,2.5736215051159514e-06,6.7302499561108515,0.25078345366199817,480.11603316296504,3.3934589243520856e-05,17.63487670949735,1.0805680184965651,18.878505025365715,0.3785766361827384,8.79325567489315,7.262244229555788,1.6505152838210657,1.2682698929767504,0.8511168002844521,0.1480789870024361,0.8589133546064539,0.13813058701553296,0.059803360577745955,6,outputfiles/ogle_chips/src/Huston2025_l1.102_b-1.497.h5,outputfiles/ogle_chips/lens/Huston2025_l1.102_b-1.497.h5,0.0006505243894161743,0.0015637781683607282
1.024,-1.365,3977,4375,1.2702546405105748e-07,1.7466762850569869e-09,2.723712347317515e-06,6.698672848045409,0.2612909601452927,320.88440728298576,3.364566201584237e-05,18.82359235773108,1.0911023654316374,22.0399137959845,0.39515353662923264,8.835031764805523,7.315015399521337,1.747643782801241,1.2010410099429354,0.8542822620762018,0.14459850609149605,0.836236560252453,0.16143004355164497,0.06505866087332922,7,outputfiles/ogle_chips/src/Huston2025_l1.024_b-1.365.h5,outputfiles/ogle_chips/lens/Huston2025_l1.024_b-1.365.h5,0.0008028690783175152,0.0014497639722351244
0.946,-1.232,4184,4137,3.064451243054288e-07,1.597109131941713e-09,2.3833909735435234e-06,6.561954175588716,0.2708038898195568,114.38561320156224,2.7502850592918645e-05,20.150597500141902,1.1180718889721515,23.652878785804,0.39767689648530324,9.23038935867993,7.304672268356296,2.3177377843749043,1.254794413882513,0.8273497451967076,0.16913822405026144,0.7601228956682201,0.23546665396004152,0.06811518300442128,8,outputfiles/ogle_chips/src/Huston2025_l0.946_b-1.232.h5,outputfiles/ogle_chips/lens/Huston2025_l0.946_b-1.232.h5,0.0014090367961165577,0.002327538386936056
0.868,-1.099,3068,4413,2.9307241957679233e-07,1.5441057008988259e-09,2.548716484624909e-06,6.573216579272855,0.2878695075519935,91.65882670205613,2.8743467134957044e-05,20.61829373483544,1.1328170375085753,22.36947028899943,0.4010117935496633,9.247818485561313,7.221801872156253,2.3012979721969518,1.5100997780469028,0.8245562811929246,0.16904312501431132,0.7438277401497774,0.24977377020531374,0.06056651271412079,9,outputfiles/ogle_chips/src/Huston2025_l0.868_b-1.099.h5,outputfiles/ogle_chips/lens/Huston2025_l0.868_b-1.099.h5,0.0030007794922078308,0.0057674578990337625
