l,b,n_source,n_lens,sa_source,sa_lens,avg_tau,avg_murel,avg_theta,eventrate_area,eventrate_source,avg_t,avg_logt,stdev_t,stdev_logt,avg_ds,avg_dl,stdev_ds,stdev_dl,stdev_t,frac_bulge_lens,frac_disk_lens,frac_bulge_source,frac_disk_source,n_compact_obj,frac_compact_obj,frac_lowmass,field_id,f_src,f_lens,frac_nsd_lens,frac_nsd_source
0.829,-1.666,3658,9761,6.515766609237696e-08,3.046174197867086e-09,2.898044073485487e-06,6.682743529112413,0.2391923979716808,695.7209952639469,4.0681990401027404e-05,16.56430202168576,1.022771283750105,19.797879115564708,0.41420350362937786,8.898307895038707,7.198189664426626,1.6534896022965033,1.4897355301430022,19.797879115564708,0.8341565524399874,0.16489239652221607,0.8569874038545795,0.14263167136212784,591,0.12750749843234357,0.22935232042861248,BLG500.01,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l0.829_b-1.666.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l0.829_b-1.666.h5,0.00030804051604828953,0.00038092478329238965
0.751,-1.534,3486,4335,7.125001448811113e-08,1.2483221862859319e-09,2.8096560781231777e-06,6.926876058158695,0.22801348267160262,639.6337370063168,4.291747879683807e-05,15.2226165812129,0.9958001999689905,17.274331878702256,0.40645708572458455,8.789571937470633,7.2146015407325805,1.6208256869526805,1.455100570234413,17.274331878702256,0.8446087064010253,0.1539054457626316,0.8911101533999364,0.10835894240910914,248,0.11484268853470841,0.2230606178370308,BLG500.02,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l0.751_b-1.534.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l0.751_b-1.534.h5,0.0008708841697227778,0.00041910213148927165
0.673,-1.401,3320,4353,8.175931547075259e-08,1.151758464213545e-09,3.3117295307482644e-06,6.860489654389646,0.2599864622570968,543.7320234733835,4.395713105429402e-05,17.51845769180793,1.0287751307182078,21.098737663857495,0.43673279683441435,8.83935279499468,7.13847474434162,1.649505726651059,1.4807130130151955,21.098737663857495,0.8040107459133629,0.1914907155185449,0.8456041075311442,0.15190357364653714,263,0.15195695203995863,0.22626380897208417,BLG500.03,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l0.673_b-1.401.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l0.673_b-1.401.h5,0.0010117972318447852,0.0024923188223184224
0.595,-1.269,4003,4134,2.6967780173717307e-07,1.0585455337588123e-09,2.2735213939202305e-06,6.904839685032187,0.2427422301391885,144.83041868412954,3.2030569488148855e-05,16.50458970897579,1.0126467144000721,19.55251622100595,0.42722082821569185,8.92622082744868,7.150809049260301,2.051354886041123,1.560396536150074,19.55251622100595,0.816435045631136,0.18236131551158857,0.8029411809769167,0.19176723927491696,215,0.09692345861261172,0.22321410156516802,BLG500.04,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l0.595_b-1.269.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l0.595_b-1.269.h5,0.0011739848404946046,0.0035269149190092206
0.516,-1.137,4019,4441,3.905195321665604e-07,1.0241237653229142e-09,2.581902180891985e-06,6.7233482903285795,0.23523457214629323,110.42491959423393,3.522387333162675e-05,17.044058700152345,1.0178857170675981,21.466626722320765,0.43199342490368164,9.365974059272776,7.39847180548676,2.448237042902109,1.344790434248656,21.466626722320765,0.8571012236215626,0.138259314933824,0.7376461174226715,0.2581822326682544,258,0.12523040050419135,0.24592372490630113,BLG500.05,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l0.516_b-1.137.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l0.516_b-1.137.h5,0.0038654317815470774,0.003717490686836343
1.18,-1.63,4020,3928,7.359556862046879e-08,1.2702546405105748e-09,2.9561194226366603e-06,6.773626968405248,0.24925582647097044,673.8088938151965,4.0495579289987925e-05,16.97401988204181,1.0300312911453724,20.164420754421283,0.41830260435690486,8.818836017899502,7.126338000700827,1.550241287414017,1.478233244704014,20.164420754421283,0.8271989862964771,0.17166096487250826,0.8612051523740842,0.13756367934626218,222,0.11186695743405142,0.21212900939551932,BLG500.08,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.180_b-1.630.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.180_b-1.630.h5,0.0006271835951398353,0.0003708595637980464
1.102,-1.497,3140,4460,7.323002771672473e-08,1.2934055644143646e-09,2.6809853792081434e-06,6.876727062818925,0.21965919950472348,528.4958616927937,4.046191246845465e-05,15.40701079639446,0.9917736823571165,18.239931993654764,0.41575780868715806,8.789241046846513,7.278101502240693,1.4775720813696571,1.2384945968178038,18.239931993654764,0.8391590643033058,0.15952349720823764,0.8699753978896716,0.12931560397811295,250,0.12470818208967654,0.2263784971882141,BLG500.09,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.102_b-1.497.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.102_b-1.497.h5,0.0011853294970214537,0.0005161680890339778
1.024,-1.365,3964,4248,1.3543290483717064e-07,1.1599831345477861e-09,2.5710072701376627e-06,6.798426758737539,0.2196778119766247,346.8190361997135,3.889902711765707e-05,15.368621424084711,0.990750339012729,18.180116820927786,0.41510915084699146,8.722895254650457,7.2524479398856565,1.4127004146236521,1.2580095058317136,18.180116820927786,0.843208082900643,0.1554931236802035,0.8406012078954103,0.15617746194142168,239,0.11674624974089984,0.23246705305776222,BLG500.10,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l1.024_b-1.365.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l1.024_b-1.365.h5,0.0010567340919536276,0.0025403431038423883
0.946,-1.232,3934,4329,3.1466979463966996e-07,1.092358067355137e-09,2.402036534624952e-06,6.744957756190195,0.24777454777416616,122.51729796278256,3.21709122510306e-05,17.36147343507476,1.0315620813508213,20.832543081152487,0.43073428602720376,9.085197215376592,7.189156455105202,2.30423591933198,1.4418282834816591,20.832543081152487,0.8101887238880702,0.18830188619332472,0.7695243516632905,0.22756728574996438,265,0.14078723569932927,0.2398456575672509,BLG500.11,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l0.946_b-1.232.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l0.946_b-1.232.h5,0.0011860694793553027,0.0028513817182444037
0.868,-1.099,3145,4224,3.19848290776044e-07,1.0091975117533655e-09,2.842742271830446e-06,6.952819477432918,0.29666675739124787,101.74836997394868,3.397004402945822e-05,19.45860603767567,1.058080133869782,25.090582450021184,0.4489945247633516,9.19387313471315,7.04730387349413,2.3809854027730175,1.8232057774324182,25.090582450021184,0.7886845648245359,0.20536874282492953,0.7383311916555123,0.2557325751438313,242,0.13316875690543317,0.21756630012728176,BLG500.12,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/src/Huston2025_min001_l0.868_b-1.099.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_min001/lens/Huston2025_min001_l0.868_b-1.099.h5,0.0025553270253174335,0.00593623320065683
