field,RAdeg,DEdeg,GLON,GLAT,sigma18,sigma21,N18,N21
BLG500.01,268.526,-29.081,0.829,-1.666,356.6,4333.5,59437,722294
BLG500.02,268.351,-29.081,0.751,-1.534,276.5,3174.1,46075,528914
BLG500.03,268.175,-29.081,0.673,-1.401,225.8,2704.4,37609,450453
BLG500.04,267.999,-29.081,0.595,-1.269,166.7,1588.2,27758,264465
BLG500.05,267.823,-29.081,0.516,-1.137,85.2,829.9,14184,138160
BLG500.08,268.694,-28.759,1.18,-1.63,270.6,4225.4,45092,704120
BLG500.09,268.518,-28.759,1.102,-1.497,277.4,3963.2,46193,659959
BLG500.10,268.342,-28.759,1.024,-1.365,231.3,2724.2,38507,453530
BLG500.11,268.167,-28.759,0.946,-1.232,185.8,1757.4,30932,292575
BLG500.12,267.991,-28.759,0.868,-1.099,141.5,1306.3,23540,217322
BLG500.17,268.694,-28.46,1.438,-1.479,194.3,2456.7,32363,409191
BLG500.18,268.518,-28.46,1.36,-1.346,216.4,2537.1,36018,422287
BLG500.19,268.342,-28.46,1.282,-1.213,208.5,2413.8,34687,401579
BLG500.20,268.167,-28.46,1.204,-1.08,175.8,1573.2,29240,261667
BLG500.21,267.991,-28.46,1.125,-0.947,143.8,1257.9,23912,209173
BLG500.22,267.815,-28.46,1.046,-0.814,132.8,1145.3,22077,190403
BLG500.26,268.526,-28.139,1.641,-1.19,94.4,835.0,15712,138984
BLG500.27,268.351,-28.139,1.563,-1.056,119.1,1071.9,19809,178289
BLG500.28,268.175,-28.139,1.484,-0.923,91.2,843.9,15165,140332
BLG501.01,268.515,-30.304,-0.233,-2.277,246.4,3194.8,40344,523089
BLG501.02,268.338,-30.304,-0.31,-2.144,259.8,4108.6,42558,673033
BLG501.03,268.16,-30.304,-0.388,-2.012,231.3,3628.8,37898,594590
BLG501.04,267.982,-30.304,-0.466,-1.88,215.1,2792.7,35252,457687
BLG501.05,267.804,-30.304,-0.545,-1.748,200.5,2476.2,32867,405923
BLG501.06,267.626,-30.304,-0.623,-1.616,176.0,2062.6,28844,338039
BLG501.07,267.449,-30.304,-0.702,-1.484,103.6,934.9,16983,153258
BLG501.08,268.685,-29.983,0.119,-2.241,321.0,4073.0,52608,667511
BLG501.09,268.507,-29.983,0.041,-2.108,320.2,4318.4,52477,707730
BLG501.10,268.329,-29.983,-0.037,-1.975,318.6,4341.6,52215,711548
BLG501.11,268.152,-29.983,-0.115,-1.843,274.0,4016.2,44937,658685
BLG501.12,267.974,-29.983,-0.193,-1.71,223.9,2647.1,36720,434145
BLG501.13,267.796,-29.983,-0.272,-1.578,206.6,2282.9,33891,374490
BLG501.14,267.618,-29.983,-0.351,-1.445,164.2,1689.0,26936,277063
BLG501.15,267.44,-29.983,-0.43,-1.313,88.8,764.0,14570,125360
BLG501.17,268.685,-29.684,0.378,-2.09,346.1,4124.6,56748,676302
BLG501.18,268.507,-29.684,0.3,-1.957,343.5,4004.1,56348,656836
BLG501.19,268.329,-29.684,0.221,-1.824,307.6,4609.2,50471,756286
BLG501.20,268.152,-29.684,0.143,-1.691,281.5,4125.2,46189,676879
BLG501.21,267.974,-29.684,0.064,-1.558,238.8,2579.1,39182,423175
