pop,iMass,age,Fe/H_initial,Mass,In_Final_Phase,Dist,l,b,vr_bc,mul,mub,x,y,z,U,V,W,VR_LSR,A_Ks,logL,logTeff,logg,Fe/H_evolved,log_radius,phase,Bessell_B,Bessell_V,Bessell_I,Gaia_G_EDR3,Gaia_BP_EDR3,Gaia_RP_EDR3,2MASS_J,2MASS_H,2MASS_Ks,Z087,W146,Is_Binary,primary_ID,ID,combined_logL,total_mass,q,combined_logP
0.0000000e+00,8.2728766e+00,1.0000000e+01,1.1264224e-01,5.4167828e-01,1.0000000e+00,5.9400207e+00,2.0001265e-01,1.6002772e+00,-7.2931313e+01,-5.1276698e+00,5.3885391e-01,-2.2400002e+00,2.0727766e-02,1.7054059e-01,-5.9894668e+01,1.0095745e+02,2.1062032e+01,-6.3423567e+01,5.3977841e-01,,,,,,,,,,,,,,,,,,0.0000000e+00,0.0,000000001,,,,
0.0000000e+00,1.9355264e-01,1.0000000e+01,-9.5094981e-02,1.9355019e-01,0.0000000e+00,6.1194412e+00,1.9999176e-01,1.6002341e+00,-2.4410097e+01,-4.8640933e+00,-2.1610186e+00,-2.0606406e+00,2.1351626e-02,1.7517374e-01,-9.3889149e+00,1.0441917e+02,-5.5520080e+01,-1.4902365e+01,5.3984755e-01,-2.3081357e+00,3.5190547e+00,5.0623579e+00,-5.3303819e-02,-6.6950010e-01,0.0000000e+00,4.0424511e+01,3.5478473e+01,2.9065656e+01,3.2180489e+01,3.6078721e+01,2.9344283e+01,2.4525919e+01,2.2955678e+01,2.2282348e+01,2.7837582e+01,2.4178742e+01,0.0000000e+00,0.0,000000002,,,,
0.0000000e+00,3.3925311e-01,1.0000000e+01,-3.4683774e-01,3.3924618e-01,0.0000000e+00,6.2457123e+00,2.0001533e-01,1.5995952e+00,-7.1115415e+01,-2.4184674e+00,-2.7886122e+00,-1.9344106e+00,2.1794780e-02,1.7836794e-01,-5.5808113e+01,1.7375527e+02,-7.6594493e+01,-6.1607757e+01,5.3989619e-01,-1.7587169e+00,3.5638787e+00,4.9375275e+00,-3.1224708e-01,-4.8443863e-01,0.0000000e+00,3.8299617e+01,3.3394235e+01,2.7592211e+01,3.0478844e+01,3.3994053e+01,2.7810891e+01,2.3343182e+01,2.1773284e+01,2.1111454e+01,2.6459770e+01,2.2960011e+01,0.0000000e+00,0.0,000000003,,,,
0.0000000e+00,1.1031851e+00,1.0000000e+01,1.0488330e-01,5.4169011e-01,1.0000000e+00,6.5111334e+00,1.9973339e-01,1.5997714e+00,2.5326915e+01,-5.1689946e+00,-1.2714791e+00,-1.6690803e+00,2.2688952e-02,1.8524554e-01,3.9788555e+01,8.6147708e+01,-3.0798878e+01,3.4834495e+01,5.3999853e-01,,,,,,,,,,,,,,,,,,0.0000000e+00,0.0,000000004,,,,
0.0000000e+00,3.8428478e-01,1.0000000e+01,-2.8574409e-01,3.8427599e-01,0.0000000e+00,6.6665333e+00,1.9957212e-01,1.6000301e+00,8.4617806e+01,-4.6027357e+00,3.7264056e+00,-1.5137339e+00,2.3211706e-02,1.8929111e-01,9.4952198e+01,1.0042608e+02,1.2769024e+02,9.4125363e+01,5.4005837e-01,-1.6498477e+00,3.5677122e+00,4.8981004e+00,-2.7547491e-01,-4.3767100e-01,0.0000000e+00,3.8127009e+01,3.3234267e+01,2.7458981e+01,3.0334729e+01,3.3834127e+01,2.7674869e+01,2.3221934e+01,2.1649047e+01,2.0989847e+01,2.6330264e+01,2.2835276e+01,1.0000000e+00,0.0,000000005,,4.7211761e-01,2.2858470e-01,3.7527792e+00
0.0000000e+00,8.7841620e-02,1.0000000e+01,-2.8574409e-01,8.7841620e-02,0.0000000e+00,-1.5137339e+00,2.3211706e-02,1.8929111e-01,,,,6.6665333e+00,1.9957212e-01,1.6000301e+00,,,,,5.4005837e-01,,,,,,,,,,,,,,,,,,2.0000000e+00,000000005,000000006,,4.7211761e-01,2.2858470e-01,3.7527792e+00
0.0000000e+00,1.0334668e-01,1.0000000e+01,8.6009726e-02,1.0334600e-01,0.0000000e+00,6.6526882e+00,2.0028897e-01,1.5996340e+00,-1.2881891e+02,-5.1287080e+00,-5.9903796e-01,-1.5275733e+00,2.3246705e-02,1.8888731e-01,-1.1482161e+02,8.3409288e+01,-1.4434981e+01,-1.1931115e+02,5.4005307e-01,-3.0100904e+00,3.4495249e+00,5.2113916e+00,1.3487698e-01,-8.8141776e-01,0.0000000e+00,4.4462315e+01,3.9349809e+01,3.1591759e+01,3.4924146e+01,3.9935921e+01,3.1828516e+01,2.6238196e+01,2.4642892e+01,2.3944976e+01,3.0080480e+01,2.5977006e+01,0.0000000e+00,0.0,000000007,,,,
0.0000000e+00,5.5982361e+00,1.0000000e+01,1.8458726e-01,5.4156865e-01,1.0000000e+00,6.7557619e+00,2.0031342e-01,1.6002947e+00,-1.3988794e+02,-5.8866680e+00,3.4627828e-01,-1.4245367e+00,2.3609753e-02,1.9162834e-01,-1.2656790e+02,5.6587770e+01,1.5248720e+01,-1.3038009e+02,5.4009277e-01,,,,,,,,,,,,,,,,,,0.0000000e+00,0.0,000000008,,,,
0.0000000e+00,2.7415754e-01,1.0000000e+01,2.1112263e-01,2.7415393e-01,0.0000000e+00,6.7713500e+00,2.0041907e-01,1.6003586e+00,-1.0820293e+02,-2.8891736e+00,-4.0557075e+00,-1.4089542e+00,2.3676710e-02,1.9203882e-01,-9.1576446e+01,1.5249425e+02,-1.2515992e+02,-9.8695034e+01,5.4009879e-01,-2.1801383e+00,3.4956175e+00,4.9657281e+00,2.6726966e-01,-5.5862694e-01,0.0000000e+00,4.0952201e+01,3.6092462e+01,2.9186232e+01,3.2404428e+01,3.6686588e+01,2.9457447e+01,2.4325026e+01,2.2782240e+01,2.2101838e+01,2.7847020e+01,2.4020572e+01,1.0000000e+00,0.0,000000009,-1.8970072e+00,5.4078662e-01,9.7256550e-01,6.6199220e+00
0.0000000e+00,2.6663616e-01,1.0000000e+01,2.1112263e-01,2.6663269e-01,0.0000000e+00,-1.4089542e+00,2.3676710e-02,1.9203882e-01,,,,6.7713500e+00,2.0041907e-01,1.6003586e+00,,,,,5.4009879e-01,-2.2167056e+00,3.4928953e+00,4.9747628e+00,2.6733177e-01,-5.7146619e-01,0.0000000e+00,4.1130627e+01,3.6259525e+01,2.9304963e+01,3.2527141e+01,3.6852774e+01,2.9571814e+01,2.4409105e+01,2.2865036e+01,2.2183091e+01,2.7953088e+01,2.4108297e+01,2.0000000e+00,000000009,000000010,-1.8970072e+00,5.4078662e-01,9.7256550e-01,6.6199220e+00
