     r      z          rho        v_phi  sigma_phi    sigma_r    sigma_z
0.0000 0.0000 4246044.0000 5.413024e+01 551.945664 506.785557 473.604878
0.0001 0.0000 4246044.0000 5.646030e+01 307.684860 272.018470 268.788309
0.0002 0.0000 1427311.0000 5.774550e+01 219.045271 190.462186 193.356239
0.0003 0.0000  731720.2000 5.819259e+01 178.846753 154.729524 158.217024
0.0004 0.0000  452588.7000 5.849324e+01 154.775497 133.965019 136.922950
0.0005 0.0000  311915.8000 5.884885e+01 138.450929 120.259210 122.560952
0.0006 0.0000  230553.4000 5.928834e+01 126.494207 110.546412 112.205416
0.0007 0.0000  178952.2000 5.976353e+01 117.289385 103.306632 104.406744
0.0008 0.0000  143986.0000 6.022537e+01 109.921872  97.687760  98.262917
0.0009 0.0000  119081.5000 6.067377e+01 103.862691  93.196167  93.368335
0.0010 0.0000  100642.9000 6.109714e+01  98.764385  89.532913  89.384568
0.0011 0.0000   86559.4000 6.150194e+01  94.412873  86.498950  86.055877
0.0012 0.0000   75516.6400 6.188229e+01  90.645635  83.942367  83.245915
0.0013 0.0000   66666.9000 6.222026e+01  87.342653  81.755639  80.870134
0.0014 0.0000   59443.6100 6.250979e+01  84.423571  79.852414  78.810909
0.0015 0.0000   53455.3700 6.275388e+01  81.823055  78.186602  77.022214
0.0016 0.0000   48424.1000 6.296965e+01  79.497884  76.718861  75.452576
0.0017 0.0000   44146.8100 6.315347e+01  77.408910  75.417443  74.051104
0.0018 0.0000   40471.5500 6.331518e+01  75.526690  74.263373  72.839510
0.0019 0.0000   37283.7400 6.344826e+01  73.818318  73.220439  71.736869
0.0020 0.0000   34495.6300 6.356055e+01  72.262528  72.278376  70.754591
0.0021 0.0000   32038.9700 6.364139e+01  70.848483  71.420140  69.867976
0.0022 0.0000   29859.9900 6.370281e+01  69.559448  70.638969  69.075274
0.0023 0.0000   27915.7200 6.373722e+01  68.381631  69.923890  68.352086
0.0024 0.0000   26171.5100 6.376042e+01  67.300749  69.266906  67.695213
0.0025 0.0000   24599.0800 6.376780e+01  66.309439  68.660221  67.090628
0.0026 0.0000   23175.1100 6.375989e+01  65.397605  68.100609  66.539265
