l,b,mub_median,mub_std
-10.0,-10.0,-0.376131745,3.0974240348130313
-10.0,-9.0,-0.39490287,2.905572269859066
-10.0,-8.0,-0.299504115,2.7238156908078683
-10.0,-7.0,-0.36088107,2.6282480521801093
-10.0,-6.0,-0.36786862,2.5777143550718313
-10.0,-5.0,-0.46175257,2.5500271574293936
-10.0,-4.0,-0.548830955,2.558890933637299
-10.0,-3.0,-0.5640226349999999,2.4944602927112394
-10.0,-2.0,-0.601878915,2.668511954807453
-10.0,-1.0,-0.73929998,3.15144525934189
-10.0,0.0,-0.4601461,2.2538928835605185
-10.0,1.0,-0.60494245,3.2969461157259072
-10.0,2.0,-0.52555203,3.0530512054068994
-10.0,3.0,-0.299347155,2.594143108119077
-10.0,4.0,-0.280203395,2.501173207903211
-10.0,5.0,-0.26239567,2.593644551262436
-9.0,-10.0,-0.38769208,3.094268126462567
-9.0,-9.0,-0.4172506,2.9123667609882866
-9.0,-8.0,-0.3676893,2.5285213748331463
-9.0,-7.0,-0.34275086,2.4952250217085736
-9.0,-6.0,-0.325999325,2.365065523614497
-9.0,-5.0,-0.35866218,2.4271372403770886
-9.0,-4.0,-0.56005477,2.7396600990783133
-9.0,-3.0,-0.46347030499999997,2.3450881071477747
-9.0,-2.0,-0.575537275,2.678903195327109
-9.0,-1.0,-0.74032771,3.215963623758605
-9.0,0.0,-0.50852412,2.5805609566386702
-9.0,1.0,-0.685844805,3.61550841545703
-9.0,2.0,-0.39249914,2.3370375528992735
-9.0,3.0,-0.30159669,2.5200728213133594
-9.0,4.0,-0.29728305,8.824991047865845
-9.0,5.0,-0.27897696,2.6102021550902763
-8.0,-10.0,-0.35156613,3.2157796765986713
-8.0,-9.0,-0.34294387000000004,2.7947654888466125
-8.0,-8.0,-0.31585899,2.566246767509119
-8.0,-7.0,-0.31641279,2.5528928829840343
-8.0,-6.0,-0.31889977,2.3908506784919874
-8.0,-5.0,-0.4089996,2.598654858527379
-8.0,-4.0,-0.47275213,3.2822402273245754
-8.0,-3.0,-0.51769974,2.5666397607702334
-8.0,-2.0,-0.483793205,2.191778230887145
-8.0,-1.0,-0.75123221,3.2414029033344134
-8.0,0.0,-0.68509199,3.2462939690767367
-8.0,1.0,-0.63629208,3.426366442075169
-8.0,2.0,-0.55178781,3.3620752024005025
-8.0,3.0,-0.34042185,2.510804433812458
-8.0,4.0,-0.29601815,2.4601440307562337
-8.0,5.0,-0.207981715,2.7920918921116655
-7.0,-10.0,-0.36979106,3.0910586646601215
-7.0,-9.0,-0.330254225,2.998483925599237
-7.0,-8.0,-0.27650676,2.6736998254381996
-7.0,-7.0,-0.33484351,2.518931572635317
-7.0,-6.0,-0.28410581,2.452963701058584
-7.0,-5.0,-0.33318439,2.483975725511986
-7.0,-4.0,-0.433158805,2.556189245836619
-7.0,-3.0,-0.458394725,2.8798737649950645
-7.0,-2.0,-0.47106129,2.3795891142843697
-7.0,-1.0,-0.65394352,2.8559721482766003
-7.0,0.0,-0.60628573,3.02416318713986
-7.0,1.0,-0.6863445349999999,3.5605194792963912
-7.0,2.0,-0.60581411,3.38213178620007
-7.0,3.0,-0.45788283,2.784103400961181
-7.0,4.0,-0.274412535,2.458193422450552
-7.0,5.0,-0.20766795,2.445867922816583
-6.0,-10.0,-0.33586283,3.0513592548414863
-6.0,-9.0,-0.29930237,2.857896195317004
-6.0,-8.0,-0.32749412,2.6733656443311187
-6.0,-7.0,-0.28439233,2.5901375152020947
-6.0,-6.0,-0.322981405,2.4536911655125238
-6.0,-5.0,-0.31454285,2.452896372668491
-6.0,-4.0,-0.36383716,2.417879591363456
-6.0,-3.0,-0.38923408,2.3221290688383984
-6.0,-2.0,-0.414964745,2.19356608194843
-6.0,-1.0,-0.53715158,2.3238042094578217
-6.0,0.0,-0.47931886,2.31953508382501
-6.0,1.0,-0.48555935,2.441985938626567
-6.0,2.0,-0.718836205,3.8424023027418728
-6.0,3.0,-0.28893783,2.556736596050278
-6.0,4.0,-0.262713705,2.561912536442899
-6.0,5.0,-0.215856125,2.5837458412762415
-5.0,-10.0,-0.33258584999999996,2.9530312329934927
-5.0,-9.0,-0.32409537,2.7986625795286373
-5.0,-8.0,-0.30825544000000005,2.598834182862071
-5.0,-7.0,-0.27949933,2.8149859300039957
-5.0,-6.0,-0.29519527,2.58433179385284
